Document Label (English),Document Label (Hindi)
"10th & 12th Marksheets (Original & Photocopies)",10वीं और 12वीं की अंकसूची (मूल एवं छायाप्रति)
"Transfer Certificate (TC) (Original)",स्थानांतरण प्रमाण पत्र (टीसी) (मूल प्रति)
"Character Certificate (CC) (Original)",चरित्र प्रमाण पत्र (सीसी) (मूल प्रति)
"Domicile Certificate (for CG State resident)",निवास प्रमाण पत्र (छत्तीसगढ़ निवासी हेतु)
"Caste Certificate (for reserved categories)",जाति प्रमाण पत्र (एसटी/एससी/ओबीसी वर्ग हेतु)
"Income Certificate (recent for scholarships)",आय प्रमाण पत्र (छात्रवृत्ति एवं फीस छूट हेतु)
"Passport size color photos (4 copies)",पासपोर्ट आकार की रंगीन फोटो (4 प्रतियां)
"Aadhaar Card copy",आधार कार्ड की छायाप्रति
